id;nom;prix;disponibilite;description
1;conglomeration Marketing solutions;70855;DISPONIBLE;deliverables
2;connecting;97284;DISPONIBLE;Tasty Cotton Bacon
3;SAS Beauty;60931;DISPONIBLE;Fantastic Plastic Shirt
4;calculate sexy;17761;DISPONIBLE;Jewelery navigate
5;back up;44289;RUPTURE;THX Computer Land
6;emulation;91017;RUPTURE;hack SMTP
7;array Beauty;75755;DISPONIBLE;bypass
8;Field;44535;DISPONIBLE;Savings Account Estates supply-chains
9;Graphical User Interface;2242;DISPONIBLE;Soft Keyboard
10;Frozen Chair;6710;RUPTURE;Incredible Granite Gloves
