id;nom;type;description
1;initiative;SMTP;Plastic primary
2;Home Loan Account;Tunisian Dinar enterprise Buckinghamshire;Metal B2B
3;calculate invoice;Compatible XML Salad;synthesizing Orchestrator
4;Marketing Keyboard;deposit Internal payment;online
5;redundant;Security Dominican Republic;Djibouti Producer productize
6;Tasty Granite Ball;Planner;application
7;synergy Holy See (Vatican City State) transitional;CSS deliver;Computer deposit
8;Assistant program white;integrated;quantify Awesome Cotton Bacon
9;South Dakota;connect;navigating
10;Licensed Concrete Chips wireless;Investment Account;yellow
